file,class,line_comments,block_comments,comment_lines,total_comments
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\UmsMemberLevelController.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\UmsMemberLevelController.java,com.macro.mall.controller.UmsMemberLevelController,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\UmsMenuController.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\UmsMenuController.java,com.macro.mall.controller.UmsMenuController,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\UmsResourceCategoryController.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\UmsResourceCategoryController.java,com.macro.mall.controller.UmsResourceCategoryController,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\UmsResourceController.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\UmsResourceController.java,com.macro.mall.controller.UmsResourceController,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\UmsRoleController.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\controller\UmsRoleController.java,com.macro.mall.controller.UmsRoleController,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\CmsPrefrenceAreaProductRelationDao.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\CmsPrefrenceAreaProductRelationDao.java,CmsPrefrenceAreaProductRelationDao,0,1,3,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\CmsPrefrenceAreaProductRelationDao.java,com.macro.mall.dao.CmsPrefrenceAreaProductRelationDao,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\CmsSubjectProductRelationDao.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\CmsSubjectProductRelationDao.java,CmsSubjectProductRelationDao,0,1,3,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\CmsSubjectProductRelationDao.java,com.macro.mall.dao.CmsSubjectProductRelationDao,0,0,0,0
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\OmsOrderDao.java,<file_level>,0,1,4,1
C:\Users\Ana Luiza\Um-estudo-das-caracteristicas-de-qualidade-de-sistemas-java\code\repo\mall-admin\src\main\java\com\macro\mall\dao\OmsOrderDao.java,OmsOrderDao,0,3,9,3
