name,url,stars,created_at,pushed_at,updated_at,language
google/gson,https://github.com/google/gson,24049,2015-03-19T18:21:20Z,2025-09-11T20:36:42Z,2025-09-19T18:16:45Z,Java
redisson/redisson,https://github.com/redisson/redisson,24035,2014-01-11T14:06:25Z,2025-09-17T16:10:01Z,2025-09-19T13:29:38Z,Java
doocs/source-code-hunter,https://github.com/doocs/source-code-hunter,22967,2019-10-28T01:35:10Z,2025-09-17T00:31:57Z,2025-09-19T11:03:44Z,Java
iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool,22925,2012-03-19T17:46:53Z,2025-09-18T01:13:21Z,2025-09-19T17:00:16Z,Java
alibaba/Sentinel,https://github.com/alibaba/Sentinel,22910,2018-04-04T06:37:33Z,2025-09-16T01:42:42Z,2025-09-19T14:09:05Z,Java
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,22785,2012-11-24T00:14:41Z,2024-07-15T08:04:08Z,2025-09-19T14:35:16Z,Java
apache/rocketmq,https://github.com/apache/rocketmq,22100,2016-11-30T08:00:08Z,2025-09-19T09:25:41Z,2025-09-19T17:15:57Z,Java
dataease/dataease,https://github.com/dataease/dataease,21907,2021-02-02T04:10:21Z,2025-09-19T04:09:46Z,2025-09-19T14:27:42Z,Java
google/ExoPlayer,https://github.com/google/ExoPlayer,21876,2014-06-13T21:19:18Z,2024-08-07T18:54:48Z,2025-09-19T18:16:50Z,Java
elunez/eladmin,https://github.com/elunez/eladmin,21789,2018-12-14T08:54:24Z,2025-07-03T06:38:35Z,2025-09-19T13:00:27Z,Java
openjdk/jdk,https://github.com/openjdk/jdk,21734,2018-09-17T12:29:20Z,2025-09-19T18:36:39Z,2025-09-19T18:19:02Z,Java
LSPosed/LSPosed,https://github.com/LSPosed/LSPosed,21589,2020-12-12T08:39:37Z,2025-03-04T21:28:36Z,2025-09-19T16:46:06Z,Java
kestra-io/kestra,https://github.com/kestra-io/kestra,21200,2019-08-24T13:56:15Z,2025-09-19T16:30:00Z,2025-09-19T16:08:25Z,Java
CarGuo/GSYVideoPlayer,https://github.com/CarGuo/GSYVideoPlayer,21114,2016-11-13T12:34:31Z,2025-09-12T07:41:23Z,2025-09-19T10:20:23Z,Java
oracle/graal,https://github.com/oracle/graal,21101,2016-01-14T17:11:35Z,2025-09-19T15:55:20Z,2025-09-19T16:44:38Z,Java
brettwooldridge/HikariCP,https://github.com/brettwooldridge/HikariCP,20722,2013-10-08T05:43:03Z,2025-09-12T18:29:08Z,2025-09-19T11:29:19Z,Java
kunal-kushwaha/DSA-Bootcamp-Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,20688,2021-07-30T12:23:25Z,2024-08-18T08:21:57Z,2025-09-19T18:28:03Z,Java
apache/shardingsphere,https://github.com/apache/shardingsphere,20457,2016-01-18T12:49:26Z,2025-09-19T13:03:13Z,2025-09-19T17:04:51Z,Java
didi/DoKit,https://github.com/didi/DoKit,20387,2018-08-14T10:32:07Z,2025-08-12T11:43:04Z,2025-09-19T11:47:41Z,Java
mybatis/mybatis-3,https://github.com/mybatis/mybatis-3,20233,2013-02-14T19:03:32Z,2025-09-19T14:42:13Z,2025-09-19T14:41:12Z,Java
ReactiveX/RxAndroid,https://github.com/ReactiveX/RxAndroid,20086,2014-08-19T03:46:38Z,2025-08-21T13:40:28Z,2025-09-19T18:16:21Z,Java
linlinjava/litemall,https://github.com/linlinjava/litemall,19926,2018-03-22T16:42:30Z,2025-01-04T11:44:29Z,2025-09-19T07:39:37Z,Java
yudaocode/SpringBoot-Labs,https://github.com/yudaocode/SpringBoot-Labs,19866,2018-09-12T14:51:46Z,2024-04-28T06:20:25Z,2025-09-19T14:00:41Z,Java
xiaojieonly/Ehviewer_CN_SXJ,https://github.com/xiaojieonly/Ehviewer_CN_SXJ,19744,2020-11-09T06:14:31Z,2025-09-15T09:18:56Z,2025-09-19T15:37:27Z,Java
thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,19729,2016-12-01T09:33:30Z,2025-09-18T13:30:48Z,2025-09-19T13:03:03Z,Java
dianping/cat,https://github.com/dianping/cat,18938,2012-12-05T02:31:48Z,2025-01-04T10:23:47Z,2025-09-19T13:22:53Z,Java
Baseflow/PhotoView,https://github.com/Baseflow/PhotoView,18871,2012-07-17T16:39:00Z,2022-03-25T09:53:49Z,2025-09-17T15:51:38Z,Java
JetBrains/intellij-community,https://github.com/JetBrains/intellij-community,18789,2011-09-30T13:33:05Z,2025-09-19T18:17:07Z,2025-09-19T18:17:14Z,Java
