owner,repo,Total_Classes,CBO_Média,CBO_Mediana,CBO_Moda,CBO_DesvioPadrao,CBO_Mínimo,CBO_Máximo,CBO_P90,%CBO_Outliers,%CBO_Acima_14,DIT_Média,DIT_Mediana,DIT_Moda,DIT_DesvioPadrao,DIT_Mínimo,DIT_Máximo,DIT_P90,%DIT_Outliers,%DIT_Acima_7,LOC_Média,LOC_Mediana,LOC_Moda,LOC_DesvioPadrao,LOC_Mínimo,LOC_Máximo,LOC_P90,%LOC_Outliers,%LOC_Acima_500,LCOM_Média,LCOM_Mediana,LCOM_Moda,LCOM_DesvioPadrao,LCOM_Mínimo,LCOM_Máximo,LCOM_P90,%LCOM_Outliers,Média_Coment_Classe,Coment/LOC,Média_Coment_Repo
JeremyLiao,LiveEventBus,308,3.227,2.0,2,3.547,0,26,6.0,5.195,3.247,1.11,1.0,1,0.371,1,3,1.0,9.091,0.0,25.266,6.0,5,67.255,2,720,36.3,4.545,0.325,4.036,0.0,0,16.925,0,141,4.0,3.247,2.449,0.098,2.481
JessYanCoding,AndroidAutoSize,49,5.408,4.0,4,4.237,0,20,10.2,4.082,4.082,1.408,1.0,1,0.497,1,2,2.0,0.0,0.0,35.102,15.0,12,56.245,2,303,69.0,6.122,0.0,31.286,1.0,0,136.3,0,937,30.8,2.041,14.535,0.6,21.061
JessYanCoding,MVPArms,149,6.644,5.0,3,5.938,0,26,16.0,6.711,12.752,1.282,1.0,1,0.57,1,3,2.0,6.04,0.0,40.174,19.0,3,57.199,2,476,94.6,4.027,0.0,32.101,3.0,0,147.025,0,1647,62.0,1.342,9.979,0.39,15.671
JesusFreke,smali,1152,6.018,4.0,3,8.344,0,123,10.9,2.083,5.642,1.667,1.0,1,1.249,1,26,3.0,1.997,0.434,40.592,17.0,5,89.21,2,1498,84.9,2.691,0.521,15.016,1.0,0,85.699,0,1613,21.0,1.476,2.877,0.082,3.321
jetlinks,jetlinks-community,1842,8.78,6.0,3,8.627,0,106,19.9,4.56,18.241,1.278,1.0,1,0.581,1,6,2.0,3.312,0.0,32.806,15.0,5,52.325,1,717,79.0,3.855,0.163,11.758,1.0,0,42.45,0,647,26.0,2.769,3.13,0.128,4.195
jetty,jetty.project,14962,5.578,4.0,3,6.535,0,77,13.0,4.812,8.08,1.633,1.0,1,1.55,1,39,3.0,2.72,0.849,48.101,14.0,5,117.901,1,2477,112.0,2.988,1.216,25.35,0.0,0,246.949,0,10558,15.0,0.842,7.659,0.189,9.113
jfeinstein10,SlidingMenu,74,5.122,3.0,3,5.574,0,30,10.7,4.054,5.405,1.959,1.0,1,1.591,1,7,5.0,5.405,0.0,41.689,13.0,5,100.487,3,682,65.1,4.054,1.351,47.446,0.0,0,228.991,0,1328,6.0,4.054,9.893,0.33,13.77
JFormDesigner,FlatLaf,846,3.816,2.0,1,5.398,0,59,9.0,4.019,4.019,3.684,2.0,1,4.21,1,57,7.0,2.246,7.565,86.915,21.5,5,179.801,1,2528,233.0,4.255,3.901,64.826,3.0,0,358.975,0,7285,94.5,1.773,11.827,0.208,18.09
jgilfelt,chuck,42,5.833,4.0,0,6.533,0,27,13.9,7.143,7.143,1.381,1.0,1,0.661,1,4,2.0,4.762,0.0,40.429,17.5,5,55.081,1,261,98.8,4.762,0.0,55.738,0.5,0,281.548,0,1815,30.0,2.381,1.174,0.032,1.286
jgilfelt,SystemBarTint,9,8.0,7.0,7,5.172,2,19,14.2,11.111,11.111,1.778,2.0,2,0.667,1,3,2.2,0.0,0.0,89.667,41.0,5,103.742,5,301,225.8,11.111,0.0,22.556,1.0,0,37.189,0,88,84.8,0.0,15.083,0.224,20.111
jhy,jsoup,408,6.306,4.0,2,7.291,0,67,13.3,4.412,8.824,1.806,1.0,1,3.175,1,59,3.0,0.98,0.98,93.037,28.0,8,225.886,1,2372,201.0,2.696,2.941,240.083,1.0,0,1871.838,0,26740,155.1,0.98,15.23,0.24,22.36
jindrapetrik,jpexs-decompiler,4056,5.872,3.0,1,12.12,0,298,13.0,1.455,7.396,1.923,1.0,1,2.353,1,111,4.0,1.726,0.789,85.261,22.0,5,278.522,1,5742,174.5,1.824,2.663,57.626,1.0,0,598.982,0,24329,40.5,0.641,18.8,0.333,28.429
jishenghua,jshERP,360,5.825,3.0,3,9.91,0,61,22.0,5.0,15.278,1.328,1.0,1,0.542,1,4,2.0,1.944,0.0,197.375,66.0,5,328.778,2,1824,626.4,5.833,14.722,1674.7,13.0,0,8186.782,0,90058,1175.0,2.5,9.983,0.065,12.922
jitsi,jitsi,3217,5.439,3.0,1,8.258,0,122,13.0,3.979,8.113,1.901,1.0,1,2.531,1,103,3.0,3.295,1.741,61.062,20.0,5,120.046,1,1420,156.8,3.606,1.554,39.371,0.0,0,211.328,0,5643,57.0,1.554,28.583,0.741,45.225
jMonkeyEngine,jmonkeyengine,3194,6.692,4.0,2,8.032,0,89,17.0,4.759,13.901,1.62,1.0,1,1.088,1,10,3.0,4.321,0.031,63.546,21.0,3,126.405,1,2661,163.7,3.882,1.534,53.886,0.0,0,384.05,0,8998,45.0,1.315,16.08,0.367,23.329
JoanZapata,android-iconify,43,3.512,3.0,0,3.725,0,12,9.0,4.651,0.0,1.233,1.0,1,0.427,1,2,2.0,0.0,0.0,21.14,11.0,8,26.68,4,136,39.4,4.651,0.0,5.186,1.0,1,15.308,0,93,19.4,2.326,2.692,0.154,3.256
JodaOrg,joda-time,557,8.578,6.0,3,8.19,0,78,20.0,3.95,19.749,2.284,2.0,1,1.872,1,17,4.0,1.795,1.795,164.476,56.0,5,247.502,2,1625,527.6,6.284,10.413,295.294,10.0,0,784.565,0,6909,955.8,4.309,46.944,0.403,66.244
joelittlejohn,jsonschema2pojo,271,6.701,5.0,5,5.94,0,46,14.0,3.321,9.225,1.14,1.0,1,0.433,1,4,2.0,1.845,0.0,52.745,29.0,2,67.357,2,540,126.0,4.428,0.369,77.686,0.0,0,580.816,0,8506,45.0,1.845,8.765,0.232,12.225
johncarl81,parceler,440,4.693,3.0,3,7.076,0,95,9.0,2.045,4.545,1.35,1.0,1,1.321,1,23,2.0,1.818,0.682,23.082,9.0,5,72.992,1,1023,34.1,1.818,0.682,16.589,0.0,0,219.619,0,4464,6.0,0.455,0.418,0.019,0.436
jOOQ,jOOQ,3311,9.794,7.0,8,17.919,0,662,19.0,1.661,14.92,1.832,1.0,1,3.101,1,156,4.0,0.272,0.393,67.191,15.0,5,294.985,1,7885,129.0,1.208,1.601,1671.133,3.0,0,41934.153,0,2297296,190.0,0.211,33.277,0.786,52.816
journeyapps,zxing-android-embedded,96,5.438,4.0,2,5.69,0,34,12.5,5.208,9.375,1.365,1.0,1,0.682,1,5,2.0,6.25,0.0,53.844,27.0,27,76.806,1,489,127.5,5.208,0.0,21.917,1.0,0,88.319,0,789,41.5,2.083,11.095,0.318,17.104
jpush,aurora-imui,342,4.804,2.5,1,7.044,0,64,11.0,3.801,6.433,1.529,1.0,1,1.436,1,21,2.0,3.509,0.292,52.012,13.0,5,118.194,1,1187,122.4,3.509,2.339,50.269,0.0,0,407.501,0,6543,32.9,1.17,3.795,0.088,4.594
json-path,JsonPath,368,4.557,3.0,0,4.803,0,28,10.3,4.891,4.891,1.486,1.0,1,1.092,1,13,2.0,3.804,0.543,44.75,14.5,5,86.593,1,855,120.4,4.891,0.272,29.291,0.0,0,118.932,0,1596,56.2,2.446,4.658,0.133,5.962
JSQLParser,JSqlParser,815,6.358,4.0,2,13.705,0,180,10.0,1.595,6.135,1.545,1.0,1,0.895,1,6,3.0,3.804,0.0,57.005,23.0,5,165.637,1,3501,104.0,1.472,0.982,513.747,1.0,0,8223.244,0,229363,105.0,0.613,3.389,0.075,4.27
jtablesaw,tablesaw,765,6.271,4.0,2,6.691,0,48,14.0,5.229,8.758,1.285,1.0,1,0.601,1,6,2.0,5.359,0.0,63.356,23.0,8,103.701,1,912,181.6,6.013,0.784,108.529,1.0,0,478.854,0,6739,159.0,3.399,7.763,0.173,10.94
junit-team,junit-framework,3428,4.709,3.0,3,5.592,0,76,10.0,4.055,4.842,1.303,1.0,1,0.99,1,23,2.0,2.421,0.438,28.733,10.0,2,68.548,1,1573,65.0,2.8,0.379,36.354,0.0,0,749.481,0,42195,28.0,0.175,6.364,0.293,8.432
junit-team,junit4,1471,3.868,3.0,1,4.188,0,41,8.0,3.603,2.719,1.464,1.0,1,1.05,1,14,3.0,4.827,0.408,22.397,8.0,5,45.815,1,673,52.0,4.147,0.136,12.961,0.0,0,130.539,0,3891,10.0,0.816,2.585,0.134,2.994
junixapp,XPopup,305,4.705,3.0,1,6.321,0,50,12.0,3.279,4.918,1.577,1.0,1,1.127,1,9,4.0,11.148,0.328,40.485,11.0,5,88.947,1,695,95.2,4.59,0.984,22.902,0.0,0,135.878,0,1441,20.0,1.967,4.844,0.153,6.21
justauth,JustAuth,198,5.51,2.0,1,6.032,0,21,16.0,5.051,15.152,1.343,1.0,1,0.582,1,4,2.0,4.545,0.0,30.576,17.0,14,64.976,4,866,59.2,1.01,0.505,12.985,6.0,0,19.532,0,153,36.0,5.051,10.429,0.558,17.066
Justson,AgentWeb,256,5.398,3.0,1,7.348,0,55,13.0,5.078,9.375,1.488,1.0,1,0.998,1,9,3.0,6.641,0.391,44.219,12.0,5,93.125,1,723,106.0,3.516,1.172,18.793,0.0,0,99.163,0,1447,28.0,1.172,4.35,0.12,5.285
jwtk,jjwt,555,5.623,4.0,1,6.831,0,70,12.0,3.063,7.027,1.995,1.0,1,2.382,1,42,4.0,2.703,1.081,28.923,9.0,5,61.083,2,639,68.6,3.423,0.541,25.834,1.0,0,142.145,0,2393,28.0,2.162,14.68,0.754,21.822
JZ-Darkal,AndroidHttpCapture,317,4.713,3.0,0,6.568,0,60,11.0,3.785,5.047,1.416,1.0,1,0.798,1,4,2.4,4.732,0.0,50.158,19.0,5,85.842,1,796,130.2,4.416,0.631,37.003,0.0,0,259.305,0,3640,40.8,0.946,9.472,0.266,13.356
k0shk0sh,FastHub,934,8.074,5.0,2,7.859,0,52,19.7,6.21,18.201,1.438,1.0,1,0.684,1,6,2.0,8.565,0.0,43.17,14.0,8,65.596,1,516,120.0,5.032,0.107,34.757,1.0,0,131.603,0,2510,81.0,2.248,0.827,0.021,0.92
karatelabs,karate,584,6.63,5.0,4,6.907,0,73,13.0,4.11,8.733,1.205,1.0,1,0.599,1,8,2.0,4.281,0.171,68.644,23.0,5,138.156,1,1996,189.4,3.253,1.884,115.276,1.0,0,629.096,0,8342,107.1,2.055,1.29,0.027,1.827
karma9874,AndroRAT,55,2.873,2.0,0,3.835,0,17,6.6,5.455,3.636,1.164,1.0,1,0.373,1,2,2.0,16.364,0.0,32.6,11.0,5,54.111,5,240,98.8,9.091,0.0,1.382,0.0,0,5.006,0,35,3.6,1.818,0.197,0.007,0.218
Karumi,Dexter,80,4.425,3.0,2,5.253,0,28,7.1,6.25,6.25,1.2,1.0,1,0.56,1,5,2.0,1.25,0.0,27.462,12.0,5,38.987,3,244,67.0,2.5,0.0,4.15,0.0,0,14.592,0,82,6.0,3.75,3.238,0.149,4.088
kaushikgopal,RxJava-Android-Samples,86,6.628,3.0,2,7.152,0,29,19.0,1.163,20.93,1.826,1.0,1,0.96,1,4,3.0,4.651,0.0,30.616,13.5,11,34.247,2,171,76.0,5.814,0.0,9.198,3.0,0,25.349,0,208,24.0,1.163,1.672,0.074,2.256
kdn251,interviews,257,1.195,1.0,0,1.254,0,7,3.0,5.447,0.0,1.004,1.0,1,0.062,1,2,1.0,0.389,0.0,21.872,20.0,13,10.744,1,74,35.4,4.28,0.0,0.292,0.0,0,0.929,0,10,1.0,2.335,1.077,0.05,1.086
KeepSafe,TapTargetView,39,4.513,2.0,1,7.071,0,40,10.0,2.564,7.692,1.154,1.0,1,0.432,1,3,2.0,2.564,0.0,50.385,15.0,5,124.331,3,733,77.8,2.564,2.564,49.897,0.0,0,246.55,0,1513,12.2,2.564,4.163,0.104,5.231
kekingcn,kkFileView,82,6.939,5.0,5,5.953,0,29,13.9,4.878,8.537,1.049,1.0,1,0.217,1,2,1.0,4.878,0.0,114.854,42.5,10,444.009,4,4011,141.3,1.22,2.439,167.28,1.0,0,1205.542,0,10895,90.4,1.22,5.823,0.08,9.232
kermitt2,grobid,563,5.288,3.0,0,7.313,0,65,12.0,4.085,7.46,1.252,1.0,1,0.591,1,6,2.0,3.02,0.0,112.773,38.0,5,250.985,1,3325,252.2,3.02,3.908,133.952,0.0,0,2012.404,0,47491,74.6,0.178,11.016,0.145,16.318
kestra-io,kestra,1918,8.213,6.0,4,8.779,0,112,17.0,3.754,14.494,1.452,1.0,1,0.788,1,9,2.0,2.033,0.104,34.64,14.0,5,68.945,1,964,77.3,3.18,0.469,15.01,0.0,0,91.265,0,2617,15.0,1.929,2.958,0.11,3.812
kevin-wayne,algs4,279,4.004,4.0,2,2.507,0,12,8.0,2.509,0.0,1.022,1.0,1,0.168,1,3,1.0,1.792,0.0,80.724,57.0,5,96.449,4,813,169.0,3.584,0.717,47.47,0.0,0,263.518,0,3145,65.2,2.151,35.5,0.64,51.659
keycloak,keycloak,8684,6.875,4.0,1,8.276,0,121,16.0,4.341,11.769,1.541,1.0,1,1.039,1,24,3.0,5.712,0.219,59.183,24.0,5,114.262,1,1952,140.0,3.213,1.37,73.279,3.0,0,993.234,0,43921,76.0,0.392,5.299,0.124,7.31
kikoso,android-stackblur,41,1.756,0.0,0,3.727,0,20,6.0,2.439,2.439,1.098,1.0,1,0.49,1,4,1.0,2.439,0.0,22.756,5.0,3,41.285,2,201,56.0,4.878,0.0,0.585,0.0,0,1.897,0,11,1.0,2.439,3.267,0.158,3.585
killbill,killbill,2443,8.661,6.0,2,10.08,0,107,19.0,4.871,15.596,1.795,1.0,1,1.101,1,8,3.0,9.783,0.041,61.788,23.0,5,120.639,1,1865,146.0,3.111,1.433,28.247,1.0,0,123.989,0,2522,45.0,2.333,3.536,0.075,4.654
killme2008,aviatorscript,524,4.635,3.0,1,6.711,0,118,9.0,2.29,3.817,1.498,1.0,1,0.776,1,5,2.0,3.053,0.0,71.302,18.0,6,185.389,1,1758,138.0,3.626,3.435,60.983,1.0,0,379.857,0,5122,24.7,1.718,11.132,0.203,14.447
KingJA,LoadSir,74,5.189,3.0,1,4.353,0,18,11.0,4.054,4.054,1.554,1.5,1,0.6,1,3,2.0,5.405,0.0,20.014,12.5,5,21.123,3,93,42.3,6.757,0.0,4.014,0.0,0,11.99,0,91,10.7,2.703,1.0,0.061,1.216
knightliao,disconf,425,4.438,3.0,1,5.13,0,32,12.0,5.647,5.647,1.358,1.0,1,0.829,1,7,2.0,3.294,0.0,32.962,18.0,5,49.918,2,570,72.0,2.824,0.235,12.616,0.0,0,68.215,0,1205,21.0,1.647,8.485,0.426,14.035
knowm,XChange,4930,5.953,4.0,3,6.448,0,60,13.0,5.01,8.884,1.504,1.0,1,0.916,1,8,3.0,5.903,0.081,30.181,18.0,5,42.564,1,1132,67.0,3.408,0.081,25.181,0.0,0,729.437,0,51037,28.0,0.041,3.133,0.14,4.233
Konloch,bytecode-viewer,414,4.737,3.0,1,6.32,0,68,11.0,2.899,5.797,2.053,1.0,1,1.839,1,10,5.0,9.662,1.449,52.563,19.0,5,91.687,1,738,121.7,4.831,1.208,13.688,0.0,0,59.061,0,527,15.0,2.415,5.592,0.149,7.821
koral--,android-gif-drawable,64,6.156,4.0,1,6.373,0,37,12.0,4.688,6.25,1.656,1.0,1,1.288,1,10,2.0,1.562,1.562,45.625,20.5,9,75.208,3,446,100.9,4.688,0.0,59.734,0.0,0,286.66,0,2124,49.0,3.125,8.969,0.301,13.734
koush,AndroidAsync,543,3.613,2.0,1,5.023,0,48,9.0,4.42,3.867,1.532,1.0,1,1.746,1,29,3.0,1.657,1.105,33.308,8.0,5,74.482,1,727,76.8,4.42,0.737,19.44,0.0,0,84.11,0,775,17.6,3.131,3.279,0.118,3.943
koush,ion,289,4.578,3.0,3,6.131,0,66,10.0,3.46,4.844,1.46,1.0,1,1.465,1,23,2.0,1.038,0.346,32.675,11.0,5,72.204,1,706,67.6,3.114,0.692,23.599,0.0,0,205.83,0,3375,6.0,1.038,4.806,0.189,6.17
krahets,hello-algo,215,1.874,2.0,2,1.513,0,11,3.0,4.186,0.0,1.0,1.0,1,0.0,1,1,1.0,0.0,0.0,35.847,30.0,19,19.957,8,113,66.6,6.512,0.0,4.707,1.0,0,10.458,0,66,10.0,5.581,11.935,0.333,11.935
krahets,LeetCode-Book,258,1.333,1.0,1,0.932,0,4,2.0,3.101,0.0,1.0,1.0,1,0.0,1,1,1.0,0.0,0.0,12.097,9.0,8,7.816,5,73,20.0,3.101,0.0,0.085,0.0,0,0.492,0,6,0.0,1.163,1.171,0.143,1.725
ksoichiro,Android-ObservableScrollView,335,5.015,3.0,1,4.606,0,24,11.0,3.881,3.881,1.967,2.0,1,1.167,1,7,4.0,3.284,0.0,37.675,13.0,5,67.661,1,747,90.0,4.179,0.299,7.57,0.0,0,30.685,0,447,13.0,2.388,2.378,0.077,2.89
kubernetes-client,java,11705,6.967,6.0,4,9.653,0,734,15.0,0.786,10.807,1.602,1.0,1,2.614,1,226,3.0,1.034,0.658,171.382,21.0,2,1823.606,1,176852,425.0,0.333,7.322,192.16,1.0,0,1945.202,0,151531,509.8,0.436,40.604,0.295,50.557
kunal-kushwaha,DSA-Bootcamp-Java,253,1.269,1.0,1,1.24,0,8,2.0,3.557,0.0,1.083,1.0,1,0.341,1,3,1.0,6.324,0.0,26.142,16.0,5,31.944,2,265,55.2,2.767,0.0,3.502,1.0,0,11.011,0,100,8.4,2.767,2.083,0.114,2.988
KunMinX,Jetpack-MVVM-Best-Practice,119,4.84,3.0,2,5.079,0,22,13.2,7.563,7.563,1.622,1.0,1,1.073,1,6,3.0,5.882,0.0,31.017,12.0,5,51.482,1,326,70.4,4.202,0.0,12.0,0.0,0,68.968,0,721,14.2,1.681,4.646,0.199,6.168
KunMinX,Linkage-RecyclerView,75,6.4,5.0,0,6.301,0,31,17.0,4.0,12.0,1.547,1.0,1,0.722,1,3,3.0,13.333,0.0,34.027,27.0,2,40.695,2,245,91.8,2.667,0.0,10.387,1.0,0,24.499,0,172,41.4,2.667,2.717,0.105,3.587
kyleduo,SwitchButton,27,4.37,2.0,2,6.215,0,30,11.0,3.704,3.704,1.407,1.0,1,0.636,1,3,2.0,7.407,0.0,57.148,9.0,5,177.957,5,933,81.0,3.704,3.704,82.481,0.0,0,416.885,0,2168,4.8,3.704,3.2,0.062,3.556
LandGrey,SpringBootVulExploit,14,3.429,3.0,3,2.954,0,11,6.8,7.143,0.0,1.0,1.0,1,0.0,1,1,1.0,0.0,0.0,18.429,8.5,5,19.338,2,71,36.3,7.143,0.0,3.571,0.0,0,7.449,0,20,17.0,14.286,0.067,0.004,0.071
langchain4j,langchain4j,3166,6.081,4.0,1,6.793,0,69,13.0,4.296,8.37,1.184,1.0,1,0.557,1,7,2.0,2.369,0.0,40.474,20.0,3,58.312,1,891,101.0,4.675,0.158,17.434,1.0,0,79.216,0,3196,36.0,1.927,4.971,0.158,6.392
languagetool-org,languagetool,2606,5.377,4.0,2,6.292,0,85,12.0,3.952,7.444,1.591,1.0,1,0.99,1,28,2.0,2.916,0.115,81.467,25.0,5,318.602,1,12348,166.5,1.113,2.686,55.189,1.0,0,396.162,0,12172,46.0,1.113,7.274,0.133,10.875
laobie,StatusBarUtil,33,4.152,3.0,2,3.528,0,13,9.0,6.061,0.0,1.545,1.0,1,0.833,1,3,3.0,0.0,0.0,31.394,11.0,6,70.325,5,398,56.6,3.03,0.0,22.545,0.0,0,124.493,0,716,3.0,3.03,6.763,0.248,7.788
LaurieWired,GhidraMCP,3,16.333,4.0,0,24.906,0,45,36.8,0.0,33.333,1.667,2.0,2,0.577,1,2,2.0,0.0,0.0,406.333,14.0,11,682.141,11,1194,958.0,0.0,33.333,459.0,3.0,0,792.415,0,1374,1099.8,0.0,41.2,0.169,68.667
LawnchairLauncher,lawnchair,3250,10.319,5.0,2,14.238,0,217,27.0,3.938,22.523,1.585,1.0,1,1.163,1,14,3.0,7.292,0.492,76.468,22.0,8,177.752,1,4073,198.0,2.646,1.877,97.1,1.0,0,1006.003,0,39464,75.1,0.708,10.202,0.194,14.829
lcodecorex,TwinklingRefreshLayout,151,4.285,2.0,2,4.778,0,27,11.0,5.298,3.974,1.371,1.0,1,0.659,1,4,2.0,7.285,0.0,41.543,12.0,5,91.841,2,815,88.0,3.311,0.662,36.272,0.0,0,214.685,0,2224,36.0,1.325,3.489,0.105,4.344
lecho,hellocharts-android,153,6.307,3.0,3,6.49,0,26,18.6,7.843,15.686,1.523,1.0,1,0.828,1,5,3.0,3.268,0.0,71.863,41.0,3,93.33,1,528,188.6,5.882,0.654,40.294,1.0,0,150.074,0,1095,74.0,3.268,7.678,0.149,10.739
lenve,JavaEETest,154,3.519,3.0,4,3.396,0,20,8.0,3.247,1.299,1.097,1.0,1,0.357,1,3,1.0,7.792,0.0,13.851,9.0,5,13.981,2,84,31.4,5.195,0.0,3.266,0.0,0,9.689,0,77,9.0,3.247,0.862,0.07,0.974
lenve,VBlog,29,4.552,4.0,3,3.621,0,13,9.4,6.897,0.0,1.034,1.0,1,0.186,1,2,1.0,3.448,0.0,26.931,16.0,6,27.795,4,114,67.4,6.897,0.0,29.069,1.0,0,92.841,0,464,49.2,3.448,1.611,0.074,2.0
lenve,vhr,94,4.436,2.0,1,5.843,0,31,12.0,4.255,4.255,1.021,1.0,1,0.145,1,2,1.0,2.128,0.0,31.606,20.0,8,42.23,4,296,65.7,2.128,0.0,48.33,6.0,0,225.795,0,2142,73.7,1.064,0.914,0.032,1.021
leolin310148,ShortcutBadger,31,5.29,5.0,4,4.591,0,23,10.0,3.226,3.226,1.161,1.0,1,0.454,1,3,2.0,3.226,0.0,28.548,16.0,16,32.476,2,162,58.0,3.226,0.0,3.484,1.0,1,7.532,0,29,6.0,9.677,4.044,0.206,5.871
lets-blade,blade,307,4.622,3.0,2,5.954,0,52,10.0,4.235,5.212,1.235,1.0,1,0.774,1,5,2.0,5.212,0.0,49.899,18.0,3,92.74,1,1164,126.8,4.56,0.326,42.156,0.0,0,185.467,0,2211,78.0,2.606,9.659,0.263,13.121
LFDT-web3j,web3j,1262,4.274,2.0,0,8.766,0,110,11.0,3.011,5.864,1.737,1.0,1,1.683,1,46,3.0,0.713,0.396,34.158,9.0,2,78.208,1,1238,77.0,3.962,0.396,35.273,0.0,0,211.485,0,3321,34.0,1.823,2.211,0.075,2.561
lgvalle,Material-Animations,45,4.4,2.0,2,4.059,1,20,9.0,4.444,2.222,1.467,1.0,1,0.757,1,3,3.0,15.556,0.0,22.444,8.0,5,35.28,5,204,54.2,4.444,0.0,4.756,0.0,0,16.108,0,107,10.0,2.222,0.471,0.024,0.533
liaohuqiu,android-Ultra-Pull-To-Refresh,161,4.056,2.0,2,4.389,0,23,11.0,8.696,3.727,1.416,1.0,1,0.755,1,5,2.0,9.938,0.0,34.012,10.0,5,79.031,4,744,77.0,3.106,0.621,19.143,0.0,0,138.956,0,1670,6.0,1.863,3.679,0.132,4.478
libgdx,libgdx,4095,5.122,3.0,1,8.84,0,268,11.0,2.442,6.007,1.798,1.0,1,1.62,1,48,3.0,2.295,0.537,71.337,27.0,5,160.144,1,4186,167.0,3.004,2.027,3442.141,0.0,0,144398.425,0,8178990,49.0,0.098,7.233,0.13,9.251
LibrePDF,OpenPDF,1745,5.935,4.0,1,7.797,0,130,13.0,3.553,7.221,1.859,1.0,1,5.804,1,237,3.0,0.229,0.573,88.258,31.0,5,202.559,1,3229,190.2,3.668,3.61,91.472,1.0,0,594.685,0,9836,83.0,1.662,21.923,0.405,35.767
lightbend,config,200,5.475,3.0,1,7.14,0,40,14.0,7.5,9.5,2.055,1.0,1,4.374,1,60,4.0,0.5,1.5,65.93,17.0,3,125.492,1,776,210.6,5.5,3.0,76.18,0.0,0,399.353,0,4868,67.0,1.5,13.836,0.3,19.785
lihangleo2,ShadowLayout,65,4.0,2.0,2,5.559,0,34,7.6,3.077,3.077,1.138,1.0,1,0.348,1,2,2.0,13.846,0.0,52.877,12.0,5,173.571,3,1144,93.6,3.077,3.077,21.615,0.0,0,103.069,0,657,6.0,3.077,7.486,0.161,8.523
lihengming,spring-boot-api-project-seed,15,5.0,4.0,0,4.675,0,15,11.4,6.667,6.667,1.267,1.0,1,0.799,1,4,1.6,6.667,0.0,32.267,12.0,2,45.306,2,158,89.6,6.667,0.0,9.733,0.0,0,18.672,0,60,35.4,6.667,4.048,0.176,5.667
lilishop,lilishop,1552,7.615,5.0,1,8.177,0,112,18.0,4.381,16.366,1.317,1.0,1,0.576,1,4,2.0,4.446,0.0,27.595,10.0,2,53.01,1,710,67.9,3.608,0.193,13.322,0.0,0,92.794,0,2628,15.0,1.224,9.078,0.536,14.782
line,armeria,6426,6.454,5.0,3,6.558,0,62,14.0,4.373,8.995,1.322,1.0,1,0.866,1,24,2.0,2.926,0.171,46.065,18.0,5,79.268,1,1238,115.0,4.062,0.482,33.441,0.0,0,255.751,0,9099,31.5,1.245,6.77,0.205,9.439
lingochamp,FileDownloader,269,4.528,2.0,1,5.45,0,30,12.0,6.691,8.178,1.688,1.0,1,2.504,1,28,3.0,0.743,0.743,53.483,18.0,5,88.362,1,651,150.8,5.204,0.743,42.015,1.0,0,232.448,0,2947,58.2,1.487,10.073,0.267,14.305
lingochamp,okdownload,343,6.443,4.0,1,6.847,0,37,15.0,4.665,12.536,1.265,1.0,1,0.778,1,6,2.0,6.414,0.0,55.353,21.0,5,82.478,1,565,143.8,5.248,0.292,35.259,0.0,0,204.234,0,2970,45.0,1.749,6.217,0.157,8.7
linhaojun857,aurora,299,7.288,6.0,4,6.592,0,41,17.0,6.02,12.375,1.117,1.0,1,0.361,1,4,2.0,10.702,0.0,16.575,8.0,4,26.703,1,242,38.0,3.679,0.0,7.258,0.0,0,80.09,0,1378,10.0,0.334,0.052,0.003,0.054
linkedin,databus,1516,5.528,3.0,0,8.027,0,78,13.0,3.826,8.443,1.357,1.0,1,0.798,1,15,2.0,7.52,0.066,82.019,26.0,5,189.216,1,3025,205.5,2.902,2.704,46.735,0.0,0,228.178,0,4727,71.0,2.045,8.817,0.153,12.516
linlinjava,litemall,617,4.618,3.0,1,5.85,0,50,12.0,5.835,7.455,1.126,1.0,1,0.333,1,2,2.0,12.642,0.0,147.3,37.0,3,320.059,2,2536,554.0,6.807,10.373,1532.885,1.0,0,9402.6,0,170778,159.8,2.755,49.833,0.446,65.663
LinShunKang,MyPerf4J,306,4.101,3.0,2,4.463,0,44,8.0,2.941,2.614,1.173,1.0,1,0.379,1,2,2.0,17.32,0.0,33.654,19.0,8,45.559,2,373,75.0,4.575,0.0,10.611,1.0,0,40.44,0,441,20.0,1.961,1.258,0.051,1.703
linyiqun,DataMiningAlgorithm,126,2.294,2.0,1,2.263,0,18,5.0,4.762,0.794,1.087,1.0,1,0.358,1,3,1.0,6.349,0.0,92.563,35.5,8,127.374,3,964,250.0,3.175,0.794,9.96,0.0,0,36.265,0,372,20.0,0.794,18.208,0.308,28.468
lionsoul2014,ip2region,38,3.474,3.0,0,2.501,0,9,6.3,5.263,0.0,1.211,1.0,1,0.577,1,3,2.0,7.895,0.0,45.921,24.0,5,54.668,4,205,143.5,7.895,0.0,4.763,0.0,0,9.988,0,41,13.6,5.263,4.52,0.13,5.947
lipangit,JiaoZiVideoPlayer,69,7.275,6.0,7,6.446,0,35,14.0,7.246,10.145,2.116,2.0,2,0.978,1,4,4.0,0.0,0.0,65.377,30.0,7,129.435,3,842,115.8,2.899,2.899,56.638,4.0,0,213.184,0,1318,69.8,2.899,2.208,0.049,3.232
